"codigo_de_solicitante","grado_academico","especialidad","institucion_educativa","annio_de_graduacion","indice_titulo"
13439,Profesorado,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2018",1
11913,Profesorado,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2015",1
7562,Licenciatura,Ciencias Comerciales,Universidad de Oriente,"2010",1
14168,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2016",1
9389,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador - Ilobasco,"2017",1
9628,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2011",1
14175,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2009",1
14156,Licenciatura,Computación,Universidad de Oriente,"2008",1
1253,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2019",1
12729,Licenciatura,Educación Parvularia,Universidad Francisco Gavidia,"2012",1
4199,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2019",1
8360,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2011",1
14159,Licenciatura,Ciencias de la Educación,Universidad Pedagógica de El Salvador,"2018",1
9073,Profesorado,Educación Media en el Campo de la Salud,Universidad de Sonsonate,"2013",1
14183,Profesorado,Educación Parvularia,Universidad Pedagógica de El Salvador,"2013",1
9858,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2017",1
14180,Licenciatura,"Educación Básica para I, II y III Ciclos",Universidad Monseñor Óscar Arnulfo Romero,"2017",1
10127,Profesorado,Ciencias Naturales,Universidad de El Salvador- Santa Ana,"2014",1
14069,Licenciatura,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2013",1
14186,Ingeniería,Matemática,Universidad Don Bosco,"2008",1
4601,Profesorado,Idioma Inglés,Universidad de Oriente,"2021",1
14166,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador - Ilobasco,"2019",1
14188,Profesorado,Ciencias Sociales,Universidad de Oriente,"2005",1
5663,Licenciatura,Educación Parvularia,Universidad Modular Abierta,"2007",1
9016,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2013",1
9892,Profesorado,Educación Inicial y Parvularia,Universidad de Oriente,"2019",1
14190,Licenciatura,Educación Básica para I y II Ciclos,Universidad Capitán General Gerardo Barrios - regional Usulután,"2016",1
14206,Licenciatura,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2009",1
13049,Profesorado,Educación Básica para I y II Ciclos,Universidad Centroamericana José Simeón Cañas,"2014",1
7269,Licenciatura,"Educación Básica para I, II y III Ciclos",Universidad de El Salvador- Santa Ana,"2014",1
14211,Licenciatura,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2018",1
7000,Licenciatura,"Educación Básica para I, II y III Ciclos",Universidad Monseñor Óscar Arnulfo Romero,"2013",1
3244,Licenciatura,Educación Básica,Universidad Católica de El Salvador,"2015",1
13203,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2014",1
12472,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2007",1
14009,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2012",1
14202,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Vicente,"2021",1
2103,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador - Ilobasco,"2018",1
12457,Profesorado,Idioma Inglés,Universidad de El Salvador - San Miguel,"2018",1
14231,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2010",1
14127,Profesorado,Educación Parvularia,Universidad de El Salvador,"2013",1
9800,Profesorado,Idioma Inglés,Universidad de El Salvador,"2008",1
